date,time,city,description,temperature,feels_like,humidity,pressure,wind_speed,wind_deg,visibility,longitude,latitude
2025-05-08,16:00:18,Fernhurst,overcast clouds,15.32,14.4,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:01:18,Fernhurst,overcast clouds,15.32,14.4,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:02:18,Fernhurst,overcast clouds,15.32,14.4,57,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:03:18,Fernhurst,overcast clouds,15.85,14.82,51,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:04:18,Fernhurst,overcast clouds,15.85,14.82,51,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:05:18,Fernhurst,overcast clouds,15.85,14.82,51,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:06:18,Fernhurst,overcast clouds,15.85,14.82,51,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:07:18,Fernhurst,overcast clouds,15.85,14.82,51,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:08:18,Fernhurst,overcast clouds,15.4,14.41,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:09:18,Fernhurst,overcast clouds,15.4,14.41,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:10:18,Fernhurst,overcast clouds,15.4,14.41,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:11:18,Fernhurst,overcast clouds,15.4,14.41,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:12:18,Fernhurst,overcast clouds,15.4,14.41,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:13:18,Fernhurst,overcast clouds,15.38,14.38,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:14:18,Fernhurst,overcast clouds,15.38,14.38,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:15:18,Fernhurst,overcast clouds,15.38,14.38,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:16:18,Fernhurst,overcast clouds,15.38,14.38,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:17:18,Fernhurst,overcast clouds,15.73,14.74,53,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:18:18,Fernhurst,overcast clouds,15.72,14.73,53,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:19:18,Fernhurst,overcast clouds,15.72,14.73,53,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:20:18,Fernhurst,overcast clouds,15.72,14.73,53,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:21:18,Fernhurst,overcast clouds,15.72,14.73,53,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:22:18,Fernhurst,overcast clouds,15.72,14.73,53,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:23:18,Fernhurst,overcast clouds,15.72,14.73,53,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:24:18,Fernhurst,overcast clouds,15.6,14.63,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:25:18,Fernhurst,overcast clouds,15.6,14.63,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:26:18,Fernhurst,overcast clouds,15.6,14.63,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:27:18,Fernhurst,overcast clouds,15.6,14.63,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:28:18,Fernhurst,overcast clouds,15.6,14.63,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:29:18,Fernhurst,overcast clouds,15.6,14.63,54,1019,3.37,84,10000,-0.7179,51.0487
2025-05-08,16:30:18,Fernhurst,overcast clouds,15.73,14.77,54,1019,3.02,84,10000,-0.7179,51.0487
2025-05-08,16:31:18,Fernhurst,overcast clouds,15.73,14.77,54,1019,3.02,84,10000,-0.7179,51.0487
2025-05-08,16:31:19,Fulham,scattered clouds,9.69,8.86,82,1031,1.97,291,10000,146.9833,-38.1
2025-05-08,16:31:20,Fulham,scattered clouds,9.69,8.86,82,1031,1.97,291,10000,146.9833,-38.1
2025-05-08,16:31:56,Fernhurst,overcast clouds,15.73,14.77,54,1019,3.02,84,10000,-0.7179,51.0487
2025-05-08,16:32:18,Fernhurst,overcast clouds,15.73,14.77,54,1019,3.02,84,10000,-0.7179,51.0487
2025-05-08,16:33:18,Fernhurst,overcast clouds,15.9,14.9,52,1019,3.02,84,10000,-0.7179,51.0487
2025-05-08,16:33:39,Fernhurst,overcast clouds,15.9,14.9,52,1019,3.02,84,10000,-0.7179,51.0487
2025-05-08,16:33:56,Los Angeles,clear sky,16.4,16.26,83,1018,2.57,240,10000,-118.2437,34.0522
